
─── Fold 0/92 ───
[fold 0] epoch   10 | train  121.56 | val  122.02 | rotLSD  23.47
[fold 1] epoch  570 | train    0.73 | val    1.23 | rotLSD   0.62
[fold 1] epoch  580 | train    0.73 | val    1.24 | rotLSD   0.61
[fold 1] epoch  590 | train    0.73 | val    1.25 | rotLSD   0.62
[fold 1] epoch  600 | train    0.72 | val    1.25 | rotLSD   0.61
[fold 1] epoch  610 | train    0.72 | val    1.27 | rotLSD   0.60
[fold 1] epoch  620 | train    0.72 | val    1.27 | rotLSD   0.61
[fold 1] epoch  630 | train    0.72 | val    1.27 | rotLSD   0.60
[fold 1] epoch  640 | train    0.71 | val    1.31 | rotLSD   0.61
[fold 1] epoch  650 | train    0.72 | val    1.30 | rotLSD   0.62
[fold 1] epoch  660 | train    0.72 | val    1.26 | rotLSD   0.59
[fold 1] epoch  670 | train    0.72 | val    1.28 | rotLSD   0.63
[fold 1] epoch  680 | train    0.71 | val    1.29 | rotLSD   0.62
[fold 1] epoch  690 | train    0.71 | val    1.30 | rotLSD   0.63
[fold 1] epoch  700 | train    0.71 | val    1.26 | rotLSD   0.59
[fold 1] epoch  710 | train    0.71 | val    1.25 | rotLSD   0.61
[fold 1] epoch  720 | train    0.71 | val    1.27 | rotLSD   0.60
[fold 1] epoch  730 | train    0.70 | val    1.29 | rotLSD   0.62
[fold 1] epoch  740 | train    0.71 | val    1.26 | rotLSD   0.60
[fold 1] epoch  750 | train    0.70 | val    1.31 | rotLSD   0.62
[fold 1] epoch  760 | train    0.70 | val    1.29 | rotLSD   0.59
[fold 1] epoch  770 | train    0.70 | val    1.30 | rotLSD   0.61
[fold 1] epoch  780 | train    0.70 | val    1.27 | rotLSD   0.61
[fold 1] epoch  790 | train    0.70 | val    1.28 | rotLSD   0.62
[fold 1] epoch  800 | train    0.70 | val    1.30 | rotLSD   0.61
[fold 1] epoch  810 | train    0.70 | val    1.27 | rotLSD   0.63
[fold 1] epoch  820 | train    0.70 | val    1.28 | rotLSD   0.60
[fold 1] epoch  830 | train    0.70 | val    1.29 | rotLSD   0.62
[fold 1] epoch  840 | train    0.70 | val    1.28 | rotLSD   0.62
[fold 1] epoch  850 | train    0.70 | val    1.28 | rotLSD   0.61
[fold 1] epoch  860 | train    0.70 | val    1.29 | rotLSD   0.61
[fold 1] epoch  870 | train    0.70 | val    1.29 | rotLSD   0.61
[fold 1] epoch  880 | train    0.70 | val    1.28 | rotLSD   0.60
[fold 1] epoch  890 | train    0.69 | val    1.28 | rotLSD   0.61
[fold 1] epoch  900 | train    0.70 | val    1.28 | rotLSD   0.62
[fold 1] epoch  910 | train    0.70 | val    1.28 | rotLSD   0.61
[fold 1] epoch  920 | train    0.70 | val    1.29 | rotLSD   0.60
[fold 1] epoch  930 | train    0.69 | val    1.28 | rotLSD   0.61
[fold 1] epoch  940 | train    0.69 | val    1.29 | rotLSD   0.60
[fold 1] epoch  950 | train    0.69 | val    1.28 | rotLSD   0.62
[fold 1] epoch  960 | train    0.70 | val    1.29 | rotLSD   0.62
[fold 1] epoch  970 | train    0.70 | val    1.28 | rotLSD   0.60
[fold 1] epoch  980 | train    0.70 | val    1.29 | rotLSD   0.61
[fold 1] epoch  990 | train    0.70 | val    1.29 | rotLSD   0.60
[fold 1] epoch 1000 | train    0.69 | val    1.29 | rotLSD   0.60

─── Fold 2/92 ───
[fold 2] epoch   10 | train  120.29 | val  119.03 | rotLSD  22.63
[fold 2] epoch   20 | train  108.65 | val  107.41 | rotLSD  18.72
[fold 2] epoch   30 | train   96.24 | val   95.02 | rotLSD  15.67
[fold 2] epoch   40 | train   83.41 | val   82.15 | rotLSD  13.59
[fold 2] epoch   50 | train   70.51 | val   69.29 | rotLSD  10.69
[fold 2] epoch   60 | train   58.08 | val   56.94 | rotLSD   8.83
[fold 2] epoch   70 | train   46.56 | val   45.52 | rotLSD   7.25
[fold 2] epoch   80 | train   36.24 | val   35.34 | rotLSD   5.95
[fold 2] epoch   90 | train   27.47 | val   26.62 | rotLSD   4.73
[fold 2] epoch  100 | train   20.19 | val   19.47 | rotLSD   3.82
[fold 2] epoch  110 | train   14.46 | val   13.85 | rotLSD   3.09
[fold 2] epoch  120 | train   10.16 | val    9.63 | rotLSD   2.44
[fold 2] epoch  130 | train    7.05 | val    6.60 | rotLSD   1.91
[fold 2] epoch  140 | train    4.92 | val    4.53 | rotLSD   1.51
[fold 2] epoch  150 | train    3.52 | val    3.19 | rotLSD   1.24
[fold 2] epoch  160 | train    2.64 | val    2.33 | rotLSD   1.04
[fold 2] epoch  170 | train    2.06 | val    1.79 | rotLSD   0.87
[fold 2] epoch  180 | train    1.67 | val    1.45 | rotLSD   0.77
[fold 2] epoch  190 | train    1.39 | val    1.20 | rotLSD   0.66
[fold 2] epoch  200 | train    1.22 | val    1.03 | rotLSD   0.61
[fold 2] epoch  210 | train    1.11 | val    0.93 | rotLSD   0.57
[fold 2] epoch  220 | train    1.03 | val    0.86 | rotLSD   0.54
[fold 2] epoch  230 | train    0.98 | val    0.81 | rotLSD   0.52
[fold 2] epoch  240 | train    0.93 | val    0.79 | rotLSD   0.49
[fold 2] epoch  250 | train    0.91 | val    0.78 | rotLSD   0.51
[fold 2] epoch  260 | train    0.88 | val    0.77 | rotLSD   0.48
[fold 2] epoch  270 | train    0.86 | val    0.75 | rotLSD   0.48
[fold 2] epoch  280 | train    0.85 | val    0.76 | rotLSD   0.48
[fold 2] epoch  290 | train    0.84 | val    0.76 | rotLSD   0.48
[fold 2] epoch  300 | train    0.83 | val    0.77 | rotLSD   0.49
[fold 2] epoch  310 | train    0.82 | val    0.78 | rotLSD   0.47
[fold 2] epoch  320 | train    0.81 | val    0.79 | rotLSD   0.49
[fold 2] epoch  330 | train    0.81 | val    0.78 | rotLSD   0.49
[fold 2] epoch  340 | train    0.80 | val    0.78 | rotLSD   0.48
[fold 2] epoch  350 | train    0.80 | val    0.80 | rotLSD   0.50
[fold 2] epoch  360 | train    0.79 | val    0.81 | rotLSD   0.49
[fold 2] epoch  370 | train    0.79 | val    0.80 | rotLSD   0.50
[fold 2] epoch  380 | train    0.79 | val    0.84 | rotLSD   0.50
[fold 2] epoch  390 | train    0.78 | val    0.80 | rotLSD   0.48
[fold 2] epoch  400 | train    0.78 | val    0.81 | rotLSD   0.51
[fold 2] epoch  410 | train    0.77 | val    0.83 | rotLSD   0.49
[fold 2] epoch  420 | train    0.77 | val    0.84 | rotLSD   0.51
[fold 2] epoch  430 | train    0.77 | val    0.84 | rotLSD   0.51
[fold 2] epoch  440 | train    0.77 | val    0.84 | rotLSD   0.50
[fold 2] epoch  450 | train    0.75 | val    0.84 | rotLSD   0.52
[fold 2] epoch  460 | train    0.76 | val    0.84 | rotLSD   0.52
[fold 2] epoch  470 | train    0.76 | val    0.85 | rotLSD   0.53
[fold 2] epoch  480 | train    0.76 | val    0.85 | rotLSD   0.51
[fold 2] epoch  490 | train    0.75 | val    0.85 | rotLSD   0.50
[fold 2] epoch  500 | train    0.75 | val    0.85 | rotLSD   0.49
[fold 2] epoch  510 | train    0.75 | val    0.87 | rotLSD   0.51
[fold 2] epoch  520 | train    0.75 | val    0.85 | rotLSD   0.52
[fold 2] epoch  530 | train    0.74 | val    0.86 | rotLSD   0.51
[fold 2] epoch  540 | train    0.75 | val    0.85 | rotLSD   0.51
[fold 2] epoch  550 | train    0.74 | val    0.86 | rotLSD   0.49
[fold 2] epoch  560 | train    0.74 | val    0.86 | rotLSD   0.50
[fold 2] epoch  570 | train    0.74 | val    0.86 | rotLSD   0.49
[fold 2] epoch  580 | train    0.74 | val    0.87 | rotLSD   0.49
[fold 2] epoch  590 | train    0.73 | val    0.86 | rotLSD   0.50
[fold 2] epoch  600 | train    0.73 | val    0.87 | rotLSD   0.49
[fold 2] epoch  610 | train    0.73 | val    0.87 | rotLSD   0.50
[fold 2] epoch  620 | train    0.73 | val    0.88 | rotLSD   0.53
[fold 2] epoch  630 | train    0.72 | val    0.87 | rotLSD   0.49
[fold 2] epoch  640 | train    0.72 | val    0.87 | rotLSD   0.52
[fold 2] epoch  650 | train    0.73 | val    0.88 | rotLSD   0.50
[fold 2] epoch  660 | train    0.72 | val    0.88 | rotLSD   0.52
[fold 2] epoch  670 | train    0.72 | val    0.88 | rotLSD   0.52
[fold 2] epoch  680 | train    0.72 | val    0.88 | rotLSD   0.49
[fold 2] epoch  690 | train    0.72 | val    0.88 | rotLSD   0.50
[fold 2] epoch  700 | train    0.72 | val    0.88 | rotLSD   0.50
[fold 2] epoch  710 | train    0.72 | val    0.88 | rotLSD   0.50
[fold 2] epoch  720 | train    0.72 | val    0.88 | rotLSD   0.50
[fold 2] epoch  730 | train    0.72 | val    0.89 | rotLSD   0.52
[fold 2] epoch  740 | train    0.71 | val    0.89 | rotLSD   0.52
[fold 2] epoch  750 | train    0.71 | val    0.89 | rotLSD   0.52
[fold 2] epoch  760 | train    0.71 | val    0.89 | rotLSD   0.53
[fold 2] epoch  770 | train    0.71 | val    0.88 | rotLSD   0.51
[fold 2] epoch  780 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  790 | train    0.71 | val    0.88 | rotLSD   0.52
[fold 2] epoch  800 | train    0.71 | val    0.89 | rotLSD   0.52
[fold 2] epoch  810 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  820 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  830 | train    0.70 | val    0.89 | rotLSD   0.52
[fold 2] epoch  840 | train    0.71 | val    0.89 | rotLSD   0.49
[fold 2] epoch  850 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  860 | train    0.70 | val    0.89 | rotLSD   0.54
[fold 2] epoch  870 | train    0.70 | val    0.89 | rotLSD   0.50
[fold 2] epoch  880 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  890 | train    0.70 | val    0.89 | rotLSD   0.52
[fold 2] epoch  900 | train    0.71 | val    0.89 | rotLSD   0.50
[fold 2] epoch  910 | train    0.70 | val    0.89 | rotLSD   0.50
[fold 2] epoch  920 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  930 | train    0.70 | val    0.89 | rotLSD   0.50
[fold 2] epoch  940 | train    0.71 | val    0.89 | rotLSD   0.52
[fold 2] epoch  950 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  960 | train    0.71 | val    0.89 | rotLSD   0.53
[fold 2] epoch  970 | train    0.71 | val    0.89 | rotLSD   0.51
[fold 2] epoch  980 | train    0.70 | val    0.89 | rotLSD   0.50
[fold 2] epoch  990 | train    0.70 | val    0.89 | rotLSD   0.50
[fold 2] epoch 1000 | train    0.70 | val    0.89 | rotLSD   0.51

─── Fold 3/92 ───
[fold 3] epoch   10 | train  121.20 | val  120.93 | rotLSD  23.06
[fold 3] epoch   20 | train  110.30 | val  109.90 | rotLSD  18.58
[fold 3] epoch   30 | train   98.71 | val   98.18 | rotLSD  16.75
[fold 3] epoch   40 | train   86.63 | val   86.02 | rotLSD  13.41
[fold 3] epoch   50 | train   74.41 | val   73.81 | rotLSD  11.57
[fold 3] epoch   60 | train   62.49 | val   61.92 | rotLSD   9.51
[fold 3] epoch   70 | train   51.29 | val   50.71 | rotLSD   8.01
[fold 3] epoch   80 | train   41.06 | val   40.51 | rotLSD   6.72
[fold 3] epoch   90 | train   32.11 | val   31.52 | rotLSD   5.47
[fold 3] epoch  100 | train   24.43 | val   23.89 | rotLSD   4.50
[fold 3] epoch  110 | train   18.14 | val   17.63 | rotLSD   3.63
[fold 3] epoch  120 | train   13.17 | val   12.69 | rotLSD   2.91
[fold 3] epoch  130 | train    9.42 | val    8.96 | rotLSD   2.33
[fold 3] epoch  140 | train    6.67 | val    6.24 | rotLSD   1.84
[fold 3] epoch  150 | train    4.78 | val    4.36 | rotLSD   1.49
[fold 3] epoch  160 | train    3.52 | val    3.11 | rotLSD   1.22
[fold 3] epoch  170 | train    2.70 | val    2.30 | rotLSD   0.99
[fold 3] epoch  180 | train    2.16 | val    1.79 | rotLSD   0.86
[fold 3] epoch  190 | train    1.77 | val    1.45 | rotLSD   0.76
[fold 3] epoch  200 | train    1.50 | val    1.22 | rotLSD   0.67
[fold 3] epoch  210 | train    1.29 | val    1.07 | rotLSD   0.60
[fold 3] epoch  220 | train    1.17 | val    0.98 | rotLSD   0.57
[fold 3] epoch  230 | train    1.09 | val    0.91 | rotLSD   0.56
[fold 3] epoch  240 | train    1.03 | val    0.86 | rotLSD   0.52
[fold 3] epoch  250 | train    0.98 | val    0.81 | rotLSD   0.50
[fold 3] epoch  260 | train    0.94 | val    0.81 | rotLSD   0.51
[fold 3] epoch  270 | train    0.91 | val    0.79 | rotLSD   0.49
[fold 3] epoch  280 | train    0.89 | val    0.78 | rotLSD   0.49
[fold 3] epoch  290 | train    0.87 | val    0.74 | rotLSD   0.48
[fold 3] epoch  300 | train    0.84 | val    0.74 | rotLSD   0.47
[fold 3] epoch  310 | train    0.83 | val    0.75 | rotLSD   0.45
[fold 3] epoch  320 | train    0.83 | val    0.72 | rotLSD   0.44
[fold 3] epoch  330 | train    0.82 | val    0.73 | rotLSD   0.44
[fold 3] epoch  340 | train    0.82 | val    0.72 | rotLSD   0.46
[fold 3] epoch  350 | train    0.82 | val    0.75 | rotLSD   0.46
[fold 3] epoch  360 | train    0.80 | val    0.74 | rotLSD   0.46
[fold 3] epoch  370 | train    0.81 | val    0.77 | rotLSD   0.46
[fold 3] epoch  380 | train    0.80 | val    0.74 | rotLSD   0.47
[fold 3] epoch  390 | train    0.79 | val    0.75 | rotLSD   0.46
[fold 3] epoch  400 | train    0.80 | val    0.76 | rotLSD   0.46
[fold 3] epoch  410 | train    0.79 | val    0.76 | rotLSD   0.46
[fold 3] epoch  420 | train    0.78 | val    0.75 | rotLSD   0.45
[fold 3] epoch  430 | train    0.78 | val    0.76 | rotLSD   0.45
[fold 3] epoch  440 | train    0.77 | val    0.74 | rotLSD   0.45
[fold 3] epoch  450 | train    0.77 | val    0.78 | rotLSD   0.46
[fold 3] epoch  460 | train    0.77 | val    0.76 | rotLSD   0.44
[fold 3] epoch  470 | train    0.77 | val    0.77 | rotLSD   0.48
[fold 3] epoch  480 | train    0.77 | val    0.79 | rotLSD   0.47
[fold 3] epoch  490 | train    0.77 | val    0.79 | rotLSD   0.46
[fold 3] epoch  500 | train    0.76 | val    0.84 | rotLSD   0.49
[fold 3] epoch  510 | train    0.76 | val    0.81 | rotLSD   0.47
[fold 3] epoch  520 | train    0.75 | val    0.84 | rotLSD   0.49
[fold 3] epoch  530 | train    0.76 | val    0.83 | rotLSD   0.47
[fold 3] epoch  540 | train    0.75 | val    0.84 | rotLSD   0.48
[fold 3] epoch  550 | train    0.75 | val    0.81 | rotLSD   0.47
[fold 3] epoch  560 | train    0.74 | val    0.83 | rotLSD   0.47
