
─── Fold 0/92 ───
[fold 1] epoch  880 | train    0.89 | val    0.94 | rotLSD   0.53
[fold 1] epoch  890 | train    0.90 | val    0.94 | rotLSD   0.55
[fold 1] epoch  900 | train    0.90 | val    0.94 | rotLSD   0.55
[fold 1] epoch  910 | train    0.89 | val    0.94 | rotLSD   0.56
[fold 1] epoch  920 | train    0.90 | val    0.94 | rotLSD   0.52
[fold 1] epoch  930 | train    0.89 | val    0.94 | rotLSD   0.54
[fold 1] epoch  940 | train    0.89 | val    0.94 | rotLSD   0.54
[fold 1] epoch  950 | train    0.89 | val    0.94 | rotLSD   0.55
[fold 1] epoch  960 | train    0.89 | val    0.94 | rotLSD   0.54
[fold 1] epoch  970 | train    0.90 | val    0.94 | rotLSD   0.55
[fold 1] epoch  980 | train    0.89 | val    0.94 | rotLSD   0.55
[fold 1] epoch  990 | train    0.90 | val    0.94 | rotLSD   0.53
[fold 1] epoch 1000 | train    0.89 | val    0.94 | rotLSD   0.54

─── Fold 2/92 ───
[fold 2] epoch   10 | train   46.94 | val   34.14 | rotLSD   5.48
[fold 2] epoch   20 | train   10.09 | val    5.82 | rotLSD   1.67
[fold 2] epoch   30 | train    2.94 | val    2.82 | rotLSD   1.09
[fold 2] epoch   40 | train    2.04 | val    2.16 | rotLSD   0.93
[fold 2] epoch   50 | train    1.89 | val    1.91 | rotLSD   0.88
[fold 2] epoch   60 | train    1.82 | val    1.83 | rotLSD   0.82
[fold 2] epoch   70 | train    1.75 | val    1.75 | rotLSD   0.82
[fold 2] epoch   80 | train    1.70 | val    1.69 | rotLSD   0.78
[fold 2] epoch   90 | train    1.63 | val    1.64 | rotLSD   0.78
[fold 2] epoch  100 | train    1.58 | val    1.58 | rotLSD   0.74
[fold 2] epoch  110 | train    1.51 | val    1.52 | rotLSD   0.71
[fold 2] epoch  120 | train    1.45 | val    1.47 | rotLSD   0.72
[fold 2] epoch  130 | train    1.37 | val    1.36 | rotLSD   0.70
[fold 2] epoch  140 | train    1.28 | val    1.28 | rotLSD   0.67
[fold 2] epoch  150 | train    1.22 | val    1.23 | rotLSD   0.64
[fold 2] epoch  160 | train    1.17 | val    1.18 | rotLSD   0.62
[fold 2] epoch  170 | train    1.14 | val    1.12 | rotLSD   0.61
[fold 2] epoch  180 | train    1.12 | val    1.10 | rotLSD   0.60
[fold 2] epoch  190 | train    1.09 | val    1.07 | rotLSD   0.58
[fold 2] epoch  200 | train    1.07 | val    1.05 | rotLSD   0.59
[fold 2] epoch  210 | train    1.07 | val    1.05 | rotLSD   0.58
[fold 2] epoch  220 | train    1.05 | val    1.02 | rotLSD   0.57
[fold 2] epoch  230 | train    1.04 | val    1.02 | rotLSD   0.58
[fold 2] epoch  240 | train    1.03 | val    0.98 | rotLSD   0.57
[fold 2] epoch  250 | train    1.01 | val    0.97 | rotLSD   0.55
[fold 2] epoch  260 | train    1.01 | val    0.99 | rotLSD   0.57
[fold 2] epoch  270 | train    1.00 | val    0.97 | rotLSD   0.55
[fold 2] epoch  280 | train    0.99 | val    0.96 | rotLSD   0.56
[fold 2] epoch  290 | train    0.98 | val    0.94 | rotLSD   0.54
[fold 2] epoch  300 | train    0.98 | val    0.93 | rotLSD   0.55
[fold 2] epoch  310 | train    0.98 | val    0.93 | rotLSD   0.54
[fold 2] epoch  320 | train    0.97 | val    0.89 | rotLSD   0.53
[fold 2] epoch  330 | train    0.96 | val    0.89 | rotLSD   0.55
[fold 2] epoch  340 | train    0.95 | val    0.88 | rotLSD   0.53
[fold 2] epoch  350 | train    0.95 | val    0.89 | rotLSD   0.54
[fold 2] epoch  360 | train    0.95 | val    0.88 | rotLSD   0.53
[fold 2] epoch  370 | train    0.94 | val    0.87 | rotLSD   0.53
[fold 2] epoch  380 | train    0.93 | val    0.86 | rotLSD   0.51
[fold 2] epoch  390 | train    0.94 | val    0.88 | rotLSD   0.51
[fold 2] epoch  400 | train    0.92 | val    0.85 | rotLSD   0.51
[fold 2] epoch  410 | train    0.93 | val    0.85 | rotLSD   0.52
[fold 2] epoch  420 | train    0.92 | val    0.85 | rotLSD   0.52
[fold 2] epoch  430 | train    0.92 | val    0.85 | rotLSD   0.52
[fold 2] epoch  440 | train    0.91 | val    0.83 | rotLSD   0.52
[fold 2] epoch  450 | train    0.91 | val    0.83 | rotLSD   0.51
[fold 2] epoch  460 | train    0.91 | val    0.84 | rotLSD   0.52
[fold 2] epoch  470 | train    0.90 | val    0.83 | rotLSD   0.51
